Firma,Name,Fullname,Inhaltsstoffe,Hautzustand,Anwendung,Kat.,Da?,Menge,Preis,Link
The Ordinary,Cleanser,Squalane Cleanser,Squalane; Aqua; Coco-Caprylate/Caprate; Glycerin; Sucrose Stearate; Ethyl Macadamiate; Caprylic/Capric Triglyceride; Sucrose Laurate; Hydrogenated Starch Hydrolysate; Sucrose Dilaurate; Sucrose Trilaurate; Polyacrylate Crosspolymer-6; Isoceteth-20; Sodium Polyacrylate; Tocopherol; Hydroxymethoxyphenyl Decanone; Trisodium Ethylenediamine Disuccinate; Malic Acid; Ethylhexylglycerin; Chlorphenesin,Allrounder,täglich; abends,Cleanser,Nein,50 ml,7.2,https://www.douglas.de/de/p/3001056444
The Ordinary,AHA/BHA,Direct AcidsAHA 30% + BHA 2% Peeling Solution,Glycolic Acid; Aqua; Aloe Barbadensis Leaf Water; Sodium Hydroxide; Daucus Carota Sativa Extract; Propanediol; Cocamidopropyl Dimethylamine; Salicylic Acid; Potassium Citrate; Lactic Acid; Tartaric Acid; Citric Acid; Panthenol; Sodium Hyaluronate Crosspolymer; Tasmannia Lanceolata Fruit/Leaf Extract; Glycerin; Pentylene Glycol; Xanthan Gum; Polysorbate 20; Trisodium Ethylenediamine Disuccinate; Potassium Sorbate; Sodium Benzoate; Ethylhexylglycerin; 1.2-Hexanediol; Caprylyl Glycol,Allrounder; Hautbild,1-2/Woche; Special,Peeling/Maske,Ja,30 ml,8.3,https://www.douglas.de/de/p/3001043635?trac=de.05x.lad.listing...000001&vmst_id=218-500151-1669555579269-2770039064-2itjepsf76qp6o04kuaz-GWC15EOX9BA6SVY8BZ3K-124&vmtrack_id=de-KTGO0UIXPK
Theramid,C-TETRA E.F.,C-TETRA E.F.,Aqua; 20 % Ascorbyl Tetraisopalmitate; Propanediol; Ascorbyl Glucoside; Glycerin; Tricaprylin; Methylpropanediol; Glycine Soja Seed Extract; 1% Tocopheryl Acetate; Ascorbyl Methylsilanol Pectinate; 0.5% Ferulic Acid; Lecithin; Sclerotium Gum; Pullulan; Xanthan Gum; Silica; Sodium Hydroxide; Sodium Citrate; Citric Acid; Sodium Benzoate; Potassium Sorbate,Hautbild,täglich; morgens; abends,Serum,Ja,30 ml,32.95,https://nichebeautylab.com/de-de/products/c-tetra-e-f
Theramid,AZID,AZID,Aqua; 15% Azelaic Acid; Glycerin; Propanediol; Glycereth-26; 1% Avena Sativa Kernel Flour; 1% Carnosine; Acetyl Tetrapeptide-2; Ceramide NP; Ceramide EOP; Ceramide NS; Ceramide AS; Ceramide AP; Gallyl Glucoside; Propyl Gallate; Epigallocatechin Gallatyl Glucoside; Daucus Carota Sativa Root Cell Culture Lysate; Gossypium Herbaceum Callus Culture; Sphingomonas Ferment Extract; Ethylhexylglycerin; Hydrogenated Lecithin; Sucrose Distearate; Glyceryl Stearate; Dipropylene Glycol; Dehydroacetic Acid; Caprylyl Glycol; Phenoxyethanol; Triethanolamine; Benzyl Alcohol; Citric Acid,unreine Haut; Rötungen; Hautbild; Pigmentierung,täglich; abends,Serum,Ja,30 ml,34.95,https://nichebeautylab.com/de/collections/theramid/products/azid
Theramid,Ceramide,Ceramide Treatment,Aqua; Propaneidol; Dicaprylyl Carbonate; Glycerin; Undecane; Ceramide NG; Tridecane; Glycine Soja Seed Extract; 1% Ectoin; Ceramide NP; Ceramide EOP; Ceramide NS; Ceramide AS; Ceramide AP; Madecassic Acid; Asiaticoside; Asiatic Acid; Gossypium Herbaceum Callus Culture; Tocopherol; Ethylhexylglycerin; Lecithin;Hydrogenated Lecithin; Xanthan Gum; Sclerotium Gum; Dimethicone/Vinyl; Dimethicone Crosspolymer; Sucrose Distearate; Glyceryl Stearate; Pullulan Dimethicone; Cholesterol; Silica; Alcohol; Dipropylene Glycol; Phenoxyethanol; Citric Acid,Allrounder,täglich; morgens; Winter,Serum,Nein,30 ml,34.95,https://nichebeautylab.com/products/ceramide-treatment?variant=40265050587276&utm_term=&utm_campaign=&utm_source=adwords&utm_medium=ppc&hsa_acc=9825405093&hsa_cam=18882061878&hsa_grp=&hsa_ad=&hsa_src=x&hsa_tgt=&hsa_kw=&hsa_mt=&hsa_net=adwords&hsa_ver=3&cmp_id=18882061878&adg_id=&kwd=&device=c&gclid=EAIaIQobChMIx6_qo-TM-wIV0uh3Ch1VGwn7EAQYASABEgK3kfD_BwE
Theramid,Vitamin A,Clinical Vitamin A,Aqua; Glycerin; Coco-Caprylate/Caprate; Caprylic/Capric Triglyceride; Propanediol; Coco-Caprylate; Dimethyl Isosorbide; Polyglyceryl-6 Distearate; Cellulose Acetate Butyrate; Cetyl Alcohol; 5% Hydroxypinacolone Retinoate; 0;3% Retinol; 0;1% Retinal; Lactococcus Ferment Lysate; Plankton Extract; Ceramide NG; Tocopherol; Ethylhexylglycerin; Jojoba Esters; Lecithin; Pullulan; Sclerotium Gum; Xanthan Gum; Tricaprylin; Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate; Caprylyl Glycol; Silica; Sodium Chloride; Lactic Acid; Citric Acid; Phenoxyethanol; Sodium Benzoate,anspruchsvolle Haut; Hautbild,2-3/Woche; abends; Sonnenschutz,Serum,Nein,30 ml,34.95,https://nichebeautylab.com/de-de/products/clinical-vitamin-a
Transparent Lab,Oil Cleanser,Oil Based Cleanser,Ethylhexyl Palmitate; Caprylic/Capric Triglyceride; Triethylhexanoin; Isostearyl Isostearate; Isopropyl Isostearate; PEG-20 Glyceryl Triisostearate; 3% Squalane; 2% Crambe Abyssinica Seed Oil Phytosterol Esters; 1% Tocopheryl Acetate,empfindliche Haut; ölige Haut; Mischhaut; trockene Haut,täglich; abends,Cleanser,Ja,200 ml,18.95,https://nichebeautylab.com/de/collections/transparent-lab/products/oil-based-cleanser
Transparent Lab,Barrier Cream,Barrier Restoring Hydrating Cream,Aqua; Glycerin; Coco-Caprylate/Caprate; C10-18 Triglycerides; Coco-Caprylate; Propanediol; Oryza Sativa Starch; Glyceryl Stearate; Cetyl Alcohol; 5% Hyaluronic Acid; Sodium Ascorbyl Phosphate; 0.1% Madecassoside; Asiaticoside; Madecassic Acid; Asiatic Acid; 0.1% Ceramide NG; Retinyl Palmitate; Tocopheryl Acetate; Ethylhexylglycerin; Mannitol; Tocopherol; Cholesterol; Phosphatidylcholine; Hydrogenated Phosphatidylcholine; Xanthan Gum; Acrylates/C10-30 Alkyl Acrylate Crosspolymer; Hydroxypropyl Starch Phosphate; PEG-75 Stearate; Ceteth-20; Steareth-20; Alcohol; Decyl Glucoside; Pentylene Glycol; Sodium Chloride; Phenoxyethanol; Sodium Benzoate; Potassium Sorbate,trockene Haut; ölige Haut; Mischhaut; empfindliche Haut,täglich; abends,Creme,Ja,50 ml,17.95,https://nichebeautylab.com/de/collections/transparent-lab/products/barrier-restoring-hydrating-cream
Transparent Lab,Retinal Cream,Retinal Age Reverse Cream,Aqua; Glycerin; Coco-Caprylate/Caprate; C10-18 Triglycerides; Coco-Caprylate; Propanediol; Oryza Sativa Starch; Cetyl Alcohol; Glyceryl Stearate; 1% Bakuchiol; 5% Retinal; 3% Hyaluronic Acid; Palmitoyl Tripeptide-1; Palmitoyl Tetrapeptide-7; Palmitoyl Tripeptide-38; Tocopherol; Ethylhexylglycerin; Mannitol; Cholesterol; Phosphatidylcholine; Hydrogenated Phosphatidylcholine; Xanthan Gum; Acrylates/C10-30 Alkyl Acrylate Crosspolymer; Hydroxypropyl Starch Phosphate; Carbomer; Hydroxypropyl Cyclodextrin; PEG-75 Stearate; Ceteth-20; Steareth-20; Decyl Glucoside; Caprylyl Glycol; Sodium Lactate; Butylene Glycol; Citric Acid; Sodium Chloride; Polysorbate 20; Phenoxyethanol; Sodium Benzoate; Potassium Sorbate,anspruchsvolle Haut; trockene Haut; ölige Haut; Mischhaut; empfindliche Haut,täglich; abends,Creme,Ja,50 ml,18.95,https://nichebeautylab.com/de/collections/transparent-lab/products/retinal-age-reverse-cream
Transparent Lab,Nia Cream,Niacinamide Glow Cream,Aqua; Glycerin; 5% Niacinamide; Propanediol; Triheptanoin; Betaine; Ethyl Macadamiate; Dimethicone; Dimethicone/Vinyl Dimethicone Crosspolymer; Isosorbide Dicaprylate; Lactococcus Ferment Lysate; Serine; Alanine; Arginine; Proline; Threonine; Glycine; PCA; Lysine HCL; Sodium PCA; Palmitoyl Tripeptide-1; Palmitoyl Tetrapeptide-7; Calcium Gluconate; 0;1% Ceramide NG; Lysine; Magnesium Chloride; Potassium Chloride; Aluminum Chloride; Zinc Chloride; Manganese Chloride; Sodium Chloride; Copper Sulfate; Tocopherol; Ethylhexylglycerin; Glutamic Acid; Malic Acid; Gluconolactone; Carbomer; Sodium Polyacrylate; Trideceth-6; Sodium Lactate; Sodium Phytate; Phenethyl Alcohol; Hydrogenated Polydecene; Caprylyl Glycol; Butylene Glycol; Polysorbate 20; Phenoxyethanol; Sodium Benzoate,trockene Haut; ölige Haut; Mischhaut; empfindliche Haut,täglich; abends,Creme,Ja,50 ml,15.95,https://nichebeautylab.com/de/collections/transparent-lab/products/niacinamide-glow-cream
Transparent Lab,Ceramide Repair,Ceramide Repair Moisturizer,Aqua; Glycerin; Propanediol; Caprylic/Capric Triglyceride; Polysorbate 80; Prunus Amygdalus Dulcis Oil; Ceramide NP; Ceramide NG; Ceramide EOP; Ceramide NS; Ceramide As; Ceramide AP; 3% Hyaluronic Acid; 0.1% Madecassoside; Ethylhexylglycerin; Helianthus Annuus Seed Oil; Squalane; Hydrogenated Lecithin; Hydrogenated Phosphatidylcholine; Phosphatidylcholine; Mannitol; Sucrose Distearate; Cholesterol; Xanthan Gum; Carbomer; Cetearyl Alcohol; Tocopherol; Glyceryl Stearate; Decyl Glucoside; Pentylene Glycol; Propylene Glycol; Polysorbate 20; Sorbitan Oleate; Sodium Chloride; Triethanolamine; Sodium Benzoate; Potassium Sorbate; Phenoxyethanol,trockene Haut; ölige Haut; Mischhaut; empfindliche Haut,täglich; morgens; abends,Serum,Ja,30 ml,17.95,https://nichebeautylab.com/de/collections/transparent-lab/products/ceramide-repair-moisturizer
xskincare x colibri skincare,Exfoliate Booster,Exfoliate Booster,Aqua; 5% Lactic Acid; 3% Glycolic Acid; Glycerin; Pentylene Glycol; 2% Bifida Ferment Filtrate; Salicylic Acid; Ascorbic Acid; Gluconic Acid; Malic Acid; Tartaric Acid; 0.5% Allantoin; Citric Acid; Dipropylene Glycol; Sodium Hyaluronate; Xanthan Gum,Hautbild,1-1/Woche; abends; abwaschen & Feuchtigkeit; Sonnenschutz,Peeling/Maske,Ja,100 ml,29.95,https://colibriskincare.de/products/exfoliate-booster
xskincare x Nø Cosmetics,Liquid Hydrator,Liquid Hydrator,Aqua; 5 % Panthenol; Pentylene Glycol; Glycerin; Propanediol; Niacinamide; Butylene Glycol; Ectoin; Amylopectin; Lithothamnion Calcareum Extrakt; Beta-Glucan; Phospholipids; Sphingolipids; Aloe Barbadensis Leaf Extract; Bioflavonoids; Brassica Oleracea Italica Extract; Sodium PCA; Lysine; Histidine; Arginine; Aspartic Acid; Threonine; Serine; Glutamic Acid; Proline; Glycine; Alanine; Valine; Isoleucine; Leucine; Tyrosine; Phenylalanine; Allantoin; Xanthan Gum; Acacia Senegal Gum; 1.2-Hexanediol; Caprylyl Glycol; Phenoxyenthanol; Potassium Sorbate; Sodium Benzoate; Lactic Acid,Allrounder,täglich; morgens; abends,Serum,Ja,100 ml,9.95,https://www.no-cosmetics.de/produkt/120h-liquid-hydrator-feuchtigkeitsbooster-fuer-dein-gesicht-happy-today/
xskincare x Nø Cosmetics,Liquid Refiner,Liquid Refiner,Aqua; Propylene Glycol; Pentylene Glycol; 2% Salicylic Acid; 1% Succinic Acid; Sodium PCA; Resveratrol; Epigallocatechin Gallate; Phospholipids; Leuconostoc/Radish Root Ferment Filtrate; Superoxide Dismutase; Xanthan Gum; Phytic Acid; Sodium Hydroxide,empfindliche Haut; ölige Haut; trockene Haut; unreine Haut,1/Woche; 4/Woche; Sonnenschutz,Serum,Ja,100 ml,9.95,https://www.no-cosmetics.de/produkt/liquid-refiner-easy-today/
